Peak,ν(F1) [ppm],Intensity [abs],Annotation
245,3.0463,92978.31,
246,3.0394,101160.94,
247,3.0373,100517.81,
248,3.0244,99630.75,
249,3.0237,104229.56,
250,3.0233,105921.25,
251,3.0044,205248.94,
252,2.9973,270390.25,
253,2.9667,69833.81,
254,2.957,57757.94,
255,2.9558,57456.88,
256,2.9484,61198.81,
257,2.9453,60389,
258,2.943,63683.75,
259,2.932,73114.12,
260,2.9255,85877.69,
261,2.9214,81608.81,
262,2.917,89285.06,
263,2.9091,82419.94,
264,2.9072,80123.88,
265,2.904,72737.19,
266,2.8977,67602.62,
267,2.8962,65062.56,
268,2.8922,63737.62,
269,2.8852,63784.44,
270,2.8821,67340.81,
271,2.8772,69013.56,
272,2.8759,69635.25,
273,2.8723,67822.06,
274,2.8649,66677.12,
275,2.8603,70623.62,
276,2.8522,70431.69,
277,2.8491,74453.25,
278,2.8382,73726.81,
279,2.837,76453.12,
280,2.831,85772.75,
281,2.819,133996.81,
282,2.8185,139479.94,
283,2.8147,137265.81,
284,2.8117,134769.75,
285,2.7933,169518.81,
286,2.782,118428.44,
287,2.7785,108945.62,
288,2.7742,101746.31,
289,2.7724,108214.69,
290,2.7486,121179.81,
291,2.746,127122.12,
292,2.7451,127056.25,
293,2.7446,130820.62,
294,2.7418,126738.44,
295,2.7362,128216.12,
296,2.7246,116544.88,
297,2.7065,102281.62,
298,2.691,96678.56,
299,2.6802,116527.62,
300,2.6728,149680.25,
301,2.6677,143285.81,
302,2.6653,154609.88,
303,2.662,161753.31,
304,2.6562,148594.88,
305,2.6519,147104.56,
306,2.6453,146447.88,
307,2.6438,142932.12,
308,2.6376,150562.12,
309,2.633,141292.88,
310,2.6241,121433.88,
311,2.6158,115535.88,
312,2.6154,111513.94,
313,2.605,206639.5,
314,2.5959,211265.81,
315,2.5689,109482.81,
316,2.5622,111606.81,
317,2.5604,107856.69,
318,2.5535,108052.31,
319,2.5467,111836.19,
320,2.5459,110846.31,
321,2.5351,116991,
322,2.5298,115574.5,
323,2.5256,121928.38,
324,2.5204,128507.94,
325,2.5179,132126.81,
326,2.4958,204105,
327,2.491,201030.69,
328,2.4844,194367.81,
329,2.4719,161770.19,
330,2.4712,160330.81,
331,2.4693,159418.75,
332,2.4669,156012.5,
333,2.4286,388764.62,
334,2.4149,473641.69,
335,2.4047,604365.31,
336,2.3951,805276.75,
337,2.387,664931.44,
338,2.3859,669640.5,
339,2.3614,1159112.62,
340,2.3472,992087.19,
341,2.3457,992753.56,
342,2.3207,391367.69,
343,2.3086,576380.75,
344,2.3006,595145.19,
345,2.2888,502833.88,
346,2.2836,474270.62,
347,2.2812,494768.06,
348,2.2808,492716.88,
349,2.2724,369102.69,
350,2.2694,376353.94,
351,2.2593,325679.25,
352,2.2536,303823.31,
353,2.234,295230.88,
354,2.2209,769355.88,
355,2.1942,274773.06,
356,2.1746,343764.75,
357,2.1643,363797.62,
358,2.1598,359271.69,
359,2.1556,355134.19,
360,2.1187,632830.38,
361,2.096,420998.81,
362,2.0897,402607.56,
363,2.0851,417402.94,
364,2.0833,415348.5,
365,2.08,424538.19,
366,2.0758,448658.75,
367,2.0544,690604.19,
368,2.048,779383.31,
369,2.0459,782115.5,
370,2.0042,409939.94,
371,2.0004,411534.19,
372,1.9925,410096.94,
373,1.9908,413202.88,
374,1.9784,425183.31,
375,1.9729,425478.06,
376,1.9645,358433.62,
377,1.9242,269982.62,
378,1.9083,1719719.94,
379,1.8812,288927.94,
380,1.8725,248714,
381,1.8656,236092.5,
382,1.8645,232748.88,
383,1.8613,232075.75,
384,1.8589,229720.94,
385,1.8558,215159.44,
386,1.8465,181345.62,
387,1.846,175706.88,
388,1.8444,176686.31,
389,1.8411,168294.56,
390,1.8371,165528.38,
391,1.8237,149238.12,
392,1.8198,144968.81,
393,1.8143,137921.31,
394,1.8,152417.75,
395,1.7939,174103.69,
396,1.783,180592.44,
397,1.7782,169041.81,
398,1.7568,153932.88,
399,1.7345,244871.56,
400,1.7273,271881.88,
401,1.7168,343211.12,
402,1.7125,346909.5,
403,1.7097,339269.19,
404,1.6986,319753.69,
405,1.6904,336019.44,
406,1.6861,332662.25,
407,1.679,313251.5,
408,1.656,209676,
409,1.6553,208930.06,
410,1.644,163728.12,
411,1.6302,155535.94,
412,1.6163,171821.81,
413,1.6104,174209.38,
414,1.6086,175017.75,
415,1.6008,178348.81,
416,1.5967,179092.5,
417,1.5933,178873.88,
418,1.5922,179836.56,
419,1.5894,178471.25,
420,1.5763,185213.69,
421,1.5742,185385.44,
422,1.563,203168.5,
423,1.5517,234190.69,
424,1.5371,275752.44,
425,1.5333,274911.31,
426,1.5286,271595.69,
427,1.5239,261321.44,
428,1.5212,260575.44,
429,1.5124,241418.5,
430,1.5051,238999.12,
431,1.4973,250972.06,
432,1.4951,261804.44,
433,1.4611,1112855.69,
434,1.4391,340166.31,
435,1.4135,222780.06,
436,1.3962,223184.75,
437,1.3837,232058.31,
438,1.3778,242700.69,
439,1.3724,254462.62,
440,1.367,271047.19,
441,1.3546,300170.06,
442,1.3383,375929.94,
443,1.3148,863113.62,
444,1.3141,866275.81,
445,1.294,599399.06,
446,1.2899,591943.31,
447,1.2884,588055.44,
448,1.2821,573519.75,
449,1.2727,522178.31,
450,1.2703,512239.5,
451,1.2403,1705035.5,
452,1.207,480885.75,
453,1.1935,1885372.69,
454,1.1856,1912659.62,
455,1.167,382577.81,
456,1.1351,228825.25,
457,1.1176,369790.56,
458,1.1085,368848.62,
459,1.0931,291206.88,
460,1.0886,248393.69,
461,1.0837,279979.06,
462,1.0725,180176.44,
463,1.0714,176753.69,
464,1.0615,243007.94,
465,1.0336,868753.62,
466,1.0278,846857.56,
467,0.9893,665728.31,
468,0.9806,958520.5,
469,0.9793,956645.06,
470,0.9725,993447.69,
471,0.9499,1222761.88,
472,0.9317,1083787.62,
473,0.9241,987937.81,
474,0.8942,438896.56,
475,0.8844,475040.25,
476,0.8766,395115.94,
477,0.8635,241987.06,
478,0.8412,111935.31,
479,0.8383,101786.25,
480,0.8369,98415.62,
481,0.8318,84594.56,
482,0.8265,75995.25,
483,0.8171,62264,
484,0.8108,55628.25,
485,0.1608,54304.69,
486,0.151,101765,
487,0.1462,69910.38,
488,0.1413,53938.56,
489,0.1287,53601.94,
490,0.1185,54852.38,
491,0.1066,68931.44,
492,0.0917,91022.94,
493,0.0906,94854.56,
494,0.0781,224028.88,
495,0.0426,302932.44,
496,-0.0526,149731.81,
497,-0.0686,95649.94,
