Peak,ν(F1) [ppm],Intensity [abs],Annotation
1,8.4432,165808.94,
2,7.8655,53795.69,
3,7.8638,56153.72,
4,7.4168,89039.75,
5,7.4141,90839.69,
6,7.4054,80783.56,
7,7.3982,59240.28,
8,7.3901,54182.12,
9,7.3847,52922.19,
10,7.381,58258.09,
11,7.3732,65480.06,
12,7.3678,67829.69,
13,7.3601,67041.28,
14,7.3477,54136.72,
15,7.3422,56981.56,
16,7.3376,51115.66,
17,7.3372,52685.56,
18,7.3172,95306.38,
19,7.3126,88120.09,
20,7.3035,64997.69,
21,7.1851,53415.59,
22,7.1827,51222.47,
23,6.8996,55266.66,
24,6.8955,57024.41,
25,6.8897,57070.94,
26,6.8873,55438.69,
27,6.8832,54188.34,
28,5.9059,51935.56,
29,5.8917,67532.41,
30,5.4492,50832.66,
31,5.4474,54247.16,
32,5.4274,99715.66,
33,5.4004,295375,
34,5.3934,253580.03,
35,5.3776,102392.78,
36,5.3752,94059.47,
37,5.3643,55362.38,
38,5.3623,51700.53,
39,5.2587,55683.44,
40,5.2448,63545.59,
41,5.2235,168681.59,
42,5.2002,134946.66,
43,5.1943,168607.5,
44,5.1839,236102.44,
45,5.1827,232752.06,
46,5.172,131473.62,
47,5.1641,68073.47,
48,4.829,64044.28,
49,4.8286,68300.88,
50,4.8276,83743.56,
51,4.8266,93195.31,
52,4.8262,105541.97,
53,4.8235,138775.72,
54,4.8222,160953.69,
55,4.8212,196866,
56,4.8195,238072.69,
57,4.8129,625805.62,
58,4.8095,858413.44,
59,4.8031,1693516.19,
60,4.8005,1883494.19,
61,4.7998,1887695.44,
62,4.799,1854916.28,
63,4.3847,49742.88,
64,4.3755,56165.09,
65,4.373,58867.97,
66,4.3659,65834.34,
67,4.3613,65903.84,
68,4.3547,69316.41,
69,4.3523,66116.88,
70,4.3446,63255.12,
71,4.3436,66596.16,
72,4.3412,67437.75,
73,4.3291,69680.38,
74,4.3222,73713.91,
75,4.3207,72639.19,
76,4.3131,75150.34,
77,4.3088,73456.09,
78,4.2931,82371.25,
79,4.2924,82623.88,
80,4.2665,133504.75,
81,4.2648,130143,
82,4.2543,151131.78,
83,4.2515,154615.56,
84,4.2475,154539,
85,4.2186,138338.44,
86,4.2104,143522.41,
87,4.2028,143276.44,
88,4.1943,151175.03,
89,4.1909,154979.44,
90,4.1633,286568.38,
91,4.1526,365041.09,
92,4.1474,388103.84,
93,4.1465,391716.5,
94,4.1412,397409.38,
95,4.1199,316629.22,
96,4.1114,320059.44,
97,4.1082,321138.56,
98,4.103,314453,
99,4.0986,307460.56,
100,4.074,264990.69,
101,4.0669,272188.53,
102,4.0654,273405.06,
103,4.0586,285906.88,
104,4.0479,312407.28,
105,4.0461,318813.31,
106,4.0431,329304.16,
107,4.0384,351924.03,
108,4.0196,434142.47,
109,4.0136,453107.28,
110,4.0087,466259.41,
111,4.0074,476216.69,
112,3.9911,554489,
113,3.9627,718043.84,
114,3.9483,784512.72,
115,3.9164,1028131.53,
116,3.8625,1980262.97,
117,3.8464,2439922.97,
118,3.7996,1673387.62,
119,3.7594,2462060.69,
120,3.7194,1562470.81,
121,3.6971,1429340.78,
122,3.6617,2069270.47,
123,3.6528,1898179.81,
124,3.6483,1896409.97,
125,3.6444,1904179.53,
126,3.5976,1303343.25,
127,3.5878,1385005.22,
128,3.5814,1392625.72,
129,3.5534,1096652.47,
130,3.5385,970221.22,
131,3.5292,912861.59,
132,3.5236,883459.69,
133,3.5207,863500.44,
134,3.5069,777532.12,
135,3.5027,761661.78,
136,3.5019,761933,
137,3.4988,764804.47,
138,3.4877,802571.62,
139,3.449,1262766.94,
140,3.4453,1275901.41,
141,3.4377,1207282.5,
142,3.3737,370244.03,
143,3.3513,338363.97,
144,3.35,339523.81,
145,3.3492,332694.47,
146,3.3229,259244.06,
147,3.3157,249879.47,
148,3.3153,248124.75,
149,3.3054,245450.94,
150,3.2753,423540.47,
151,3.2674,507071.41,
152,3.2481,650678.75,
153,3.2453,640400.25,
154,3.2425,611081.62,
155,3.1971,198498.72,
156,3.1957,192963.06,
157,3.1913,177846.03,
158,3.1781,149541.72,
159,3.1669,128234.47,
160,3.1642,126203.31,
161,3.1606,120816.47,
162,3.1467,107729.91,
163,3.1332,108531.22,
164,3.1269,114080.06,
165,3.1237,119806.53,
166,3.1181,113826.62,
167,3.1176,113420.72,
