,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.83,0,0.52,0.04,Artifact,Weak,,,30,3.86,0,3.77,1.6,Compound,None,,,59,3.23,0,5.7,1.94,Compound,None,,,88,1.32,0,3.2,0.92,Compound,None,,
2,8.45,0,2.41,0.33,Compound,None,,,31,3.83,0,1.87,0.41,Compound,None,,,60,3.22,0,2.05,0.38,Compound,None,,,89,1.31,0,1.94,0.21,Compound,None,,
3,7.44,0,1.21,0.1,Artifact,Weak,,,32,3.82,0,2.66,0.87,Compound,None,,,61,3.21,0,2.64,0.33,Compound,None,,,90,1.25,0.4,2.12,10.55,Compound,None,,
4,5.84,0,0.7,0.04,Artifact,Weak,,,33,3.79,0,2.09,0.72,Compound,None,,,62,2.89,0,6.79,2.02,Compound,None,,,91,1.22,0.1,2.63,2.34,Compound,None,,
5,5.4,0,3.12,0.29,Compound,None,,,34,3.77,0.1,16.87,19.24,Compound,None,,,63,2.82,0.2,1.87,4.94,Compound,None,,,92,1.2,0.1,2.73,2.19,Compound,None,,
6,5.24,0,3.35,1.12,Compound,None,,,35,3.76,0,2.75,1.07,Compound,None,,,64,2.75,0,1.58,0.14,Artifact,Weak,,,93,1.17,0,1.21,0.13,Artifact,Weak,,
7,5.23,0,2.02,0.34,Compound,None,,,36,3.73,0,7.51,0.78,Compound,None,,,65,2.54,0,0.63,0.05,Artifact,Weak,,,94,1.15,0,0.93,0.14,Impurity,None,,
8,5.23,0,0.98,0.13,Compound,None,,,37,3.72,0,2.43,0.62,Compound,None,,,66,2.5,0,2.78,0.62,Compound,None,,,95,1.1,0,1.65,0.15,Artifact,Weak,,
9,4.92,0,1.78,0.28,Compound,None,,,38,3.7,0,2.07,0.94,Compound,None,,,67,2.47,0,1.56,0.15,Artifact,Weak,,,96,1.06,0,1.95,0.4,Compound,None,,
10,4.86,0.1,1.7,1.54,Artifact,Weak,,,39,3.68,0,2.19,1.06,Compound,None,,,68,2.44,0,1.21,0.13,Compound,Weak,,,97,1.04,0,1.7,0.28,Compound,None,,
