,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,9.68,0,1.91,0.16,Artifact,Weak,,,28,5.2,0.6,2.74,22.47,Compound,None,,,55,4.19,0,2.05,0.71,Compound,None,,,82,3.76,0.1,2.65,3.71,Compound,None,,,109,3.47,0.3,2.66,10.68,Compound,None,,,136,2.89,0.1,7.22,6.65,Compound,None,,,163,2.28,0,0.74,0.06,Artifact,Weak,,,190,1.26,0,1.55,0.55,Compound,None,,
2,8.45,0,12.28,1.41,Compound,None,,,29,5.19,0.6,2.49,18.54,Compound,None,,,56,4.18,0,3.06,0.41,Impurity,Weak,,,83,3.75,0.4,4.59,21.67,Compound,None,,,110,3.47,0.3,2.91,13.43,Compound,None,,,137,2.87,0,2.37,0.4,Compound,Weak,,,164,2.26,0.1,2.41,1.98,Compound,None,,,191,1.25,0.4,1.91,9.97,Compound,None,,
3,7.9,0,10.29,1.23,Compound,None,,,30,5.1,0,6.72,2.14,Compound,None,,,57,4.14,0,4.24,1.19,Compound,None,,,84,3.74,0.3,2.39,8.32,Compound,None,,,111,3.46,0,1.39,0.57,Compound,None,,,138,2.84,0,11.81,5.51,Compound,None,,,165,2.23,0.2,2.62,5.11,Compound,None,,,192,1.24,0,2.19,1.24,Compound,None,,
4,7.65,0,5.62,0.38,Artifact,Weak,,,31,5.06,0,4.81,0.48,Impurity,Weak,,,58,4.12,0,1.29,0.12,Artifact,Weak,,,85,3.74,0.2,3.13,7.37,Compound,None,,,112,3.45,0.7,3.42,31.76,Compound,None,,,139,2.82,0,7.17,1.25,Compound,None,,,166,2.21,0,2.28,0.51,Compound,Weak,,,193,1.23,0.2,2.57,5.23,Compound,None,,
5,7.59,0,5.46,1.65,Compound,None,,,32,5.05,0,1.81,0.17,Impurity,Weak,,,59,4.04,0,2.54,0.53,Impurity,None,,,86,3.73,0.1,2,2.28,Compound,None,,,113,3.43,0.1,4.81,9.78,Compound,None,,,140,2.81,0.1,1.59,1.13,Compound,None,,,167,2.21,0,6.89,1.76,Compound,None,,,194,1.22,0.2,2.58,5.63,Compound,None,,
6,7.55,0,7.04,1.11,Compound,None,,,33,5.01,0,1.58,0.19,Impurity,Weak,,,60,4.01,0.1,4.98,3.7,Compound,None,,,87,3.71,0.2,2.29,4.82,Compound,None,,,114,3.43,0.2,2.87,8.72,Compound,None,,,141,2.8,0.1,1.95,1.25,Compound,None,,,168,2.16,0,9.73,5.75,Compound,None,,,195,1.21,0.1,27.72,19.41,Compound,None,,
7,7.48,0,1.12,0.08,Artifact,Weak,,,34,4.97,0,4.17,1.26,Compound,None,,,61,4,0,3.59,1.33,Compound,None,,,88,3.7,0.4,2.43,12.87,Compound,None,,,115,3.42,0.3,2.3,8.85,Compound,None,,,142,2.76,0,0.96,0.07,Artifact,Weak,,,169,2.15,0.1,5.08,3.48,Compound,None,,,196,1.2,0,2,0.35,Impurity,Weak,,
8,7.47,0,2.97,0.2,Artifact,Weak,,,35,4.93,0,4.13,1.38,Artifact,Weak,,,62,3.98,0,4.74,2.35,Compound,None,,,89,3.69,0.1,1.67,1.36,Compound,None,,,116,3.41,0.2,3.22,9.16,Compound,None,,,143,2.73,0,10.2,1.64,Compound,None,,,170,2.13,0.1,4.43,2.78,Compound,None,,,197,1.05,0,1.79,0.35,Impurity,Weak,,
9,7.32,0,13.3,1.08,Artifact,Weak,,,36,4.83,0.1,1.93,1.3,Artifact,Weak,,,63,3.95,0.1,5.63,8.46,Compound,None,,,90,3.68,0.2,2.55,7.47,Compound,None,,,117,3.4,0.2,3.25,9.28,Compound,None,,,144,2.61,0,22.59,6.18,Compound,None,,,171,2.11,0,2.51,0.43,Compound,Weak,,,198,1.04,0,2.95,0.4,Impurity,Weak,,
10,7.07,0,5.48,0.55,Impurity,Weak,,,37,4.79,519.4,2.3,14815.87,Solvent,None,,,64,3.94,0.1,5.78,5.47,Compound,None,,,91,3.67,0.7,3.29,35.73,Compound,None,,,118,3.39,0.1,2.57,2.8,Compound,None,,,145,2.58,0.3,2.75,10.19,Compound,None,,,172,2.07,0.1,8.09,12.67,Compound,None,,,199,1.02,0,2.69,0.21,Artifact,Weak,,
