BLSE_0001_solid
140, -6127936, 6239.0144, 25.681016
141, -5519552, 6238.7043, 25.679740
142, -5139520, 6238.3942, 25.678463
143, -4996544, 6238.0840, 25.677186
144, -5096384, 6237.7739, 25.675910
145, -5442560, 6237.4637, 25.674633
146, -6036672, 6237.1536, 25.673357
147, -6878208, 6236.8435, 25.672080
148, -7964352, 6236.5333, 25.670803
149, -9289856, 6236.2232, 25.669527
150, -10846656, 6235.9131, 25.668250
151, -12621888, 6235.6029, 25.666974
152, -14598016, 6235.2928, 25.665697
153, -16751552, 6234.9826, 25.664420
154, -19052928, 6234.6725, 25.663144
155, -21466624, 6234.3624, 25.661867
156, -23952256, 6234.0522, 25.660591
157, -26465152, 6233.7421, 25.659314
158, -28958464, 6233.4319, 25.658038
159, -31384640, 6233.1218, 25.656761
160, -33697088, 6232.8117, 25.655484
161, -35852544, 6232.5015, 25.654208
162, -37812672, 6232.1914, 25.652931
163, -39545728, 6231.8813, 25.651655
164, -41028992, 6231.5711, 25.650378
165, -42249152, 6231.2610, 25.649101
166, -43203520, 6230.9508, 25.647825
167, -43899584, 6230.6407, 25.646548
168, -44354432, 6230.3306, 25.645272
169, -44592000, 6230.0204, 25.643995
170, -44642368, 6229.7103, 25.642718
171, -44537216, 6229.4002, 25.641442
172, -44307968, 6229.0900, 25.640165
173, -43983424, 6228.7799, 25.638889
174, -43587904, 6228.4697, 25.637612
175, -43140032, 6228.1596, 25.636336
176, -42653056, 6227.8495, 25.635059
177, -42135744, 6227.5393, 25.633782
178, -41593344, 6227.2292, 25.632506
179, -41029824, 6226.9190, 25.631229
180, -40448640, 6226.6089, 25.629953
181, -39854080, 6226.2988, 25.628676
182, -39252224, 6225.9886, 25.627399
183, -38650880, 6225.6785, 25.626123
184, -38059648, 6225.3684, 25.624846
185, -37489024, 6225.0582, 25.623570
186, -36950080, 6224.7481, 25.622293
187, -36453312, 6224.4379, 25.621016
188, -36008000, 6224.1278, 25.619740
189, -35621440, 6223.8177, 25.618463
190, -35298944, 6223.5075, 25.617187
191, -35044288, 6223.1974, 25.615910
192, -34859008, 6222.8873, 25.614634
193, -34743296, 6222.5771, 25.613357
194, -34696576, 6222.2670, 25.612080
195, -34716672, 6221.9568, 25.610804
196, -34800512, 6221.6467, 25.609527
197, -34942976, 6221.3366, 25.608251
198, -35137216, 6221.0264, 25.606974
199, -35374272, 6220.7163, 25.605697
200, -35643904, 6220.4062, 25.604421
201, -35934784, 6220.0960, 25.603144
202, -36236544, 6219.7859, 25.601868
203, -36540480, 6219.4757, 25.600591
204, -36840320, 6219.1656, 25.599314
205, -37132544, 6218.8555, 25.598038
206, -37416768, 6218.5453, 25.596761
207, -37693376, 6218.2352, 25.595485
208, -37963520, 6217.9250, 25.594208
209, -38227904, 6217.6149, 25.592931
210, -38485120, 6217.3048, 25.591655
211, -38731584, 6216.9946, 25.590378
212, -38961344, 6216.6845, 25.589102
213, -39166592, 6216.3744, 25.587825
214, -39337792, 6216.0642, 25.586549
215, -39464512, 6215.7541, 25.585272
216, -39536768, 6215.4439, 25.583995
217, -39544704, 6215.1338, 25.582719
218, -39480576, 6214.8237, 25.581442
219, -39338816, 6214.5135, 25.580166
220, -39117696, 6214.2034, 25.578889
221, -38819904, 6213.8933, 25.577612
222, -38452160, 6213.5831, 25.576336
223, -38026496, 6213.2730, 25.575059
224, -37558080, 6212.9628, 25.573783
225, -37064640, 6212.6527, 25.572506
226, -36564032, 6212.3426, 25.571229
227, -36071872, 6212.0324, 25.569953
228, -35599744, 6211.7223, 25.568676
229, -35153152, 6211.4121, 25.567400
230, -34730496, 6211.1020, 25.566123
231, -34323008, 6210.7919, 25.564847
232, -33915968, 6210.4817, 25.563570
233, -33489664, 6210.1716, 25.562293
234, -33021888, 6209.8615, 25.561017
235, -32490816, 6209.5513, 25.559740
236, -31877248, 6209.2412, 25.558464
237, -31165824, 6208.9310, 25.557187
238, -30346944, 6208.6209, 25.555910
239, -29417280, 6208.3108, 25.554634
240, -28378496, 6208.0006, 25.553357
241, -27236608, 6207.6905, 25.552081
242, -26000384, 6207.3804, 25.550804
243, -24679872, 6207.0702, 25.549527
244, -23284672, 6206.7601, 25.548251
245, -21822592, 6206.4499, 25.546974
246, -20299584, 6206.1398, 25.545698
247, -18718912, 6205.8297, 25.544421
248, -17082304, 6205.5195, 25.543145
249, -15391488, 6205.2094, 25.541868
250, -13648832, 6204.8993, 25.540591
251, -11860032, 6204.5891, 25.539315
252, -10035008, 6204.2790, 25.538038
253, -8189440, 6203.9688, 25.536762
254, -6344512, 6203.6587, 25.535485
255, -4526656, 6203.3486, 25.534208
256, -2766784, 6203.0384, 25.532932
257, -1097472, 6202.7283, 25.531655
258, 448320, 6202.4181, 25.530379
259, 1840192, 6202.1080, 25.529102
260, 3051904, 6201.7979, 25.527825
261, 4064256, 6201.4877, 25.526549
262, 4865856, 6201.1776, 25.525272
263, 5453568, 6200.8675, 25.523996
264, 5833152, 6200.5573, 25.522719
265, 6017984, 6200.2472, 25.521442
266, 6027520, 6199.9370, 25.520166
267, 5885824, 6199.6269, 25.518889
268, 5619456, 6199.3168, 25.517613
269, 5255744, 6199.0066, 25.516336
270, 4822272, 6198.6965, 25.515060
271, 4345216, 6198.3864, 25.513783
272, 3849472, 6198.0762, 25.512506
273, 3358400, 6197.7661, 25.511230
274, 2893248, 6197.4559, 25.509953
