,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.6,0,0.95,0.05,Artifact,Weak,,,26,3.48,0.1,7.47,5.78,Artifact,Weak,,,51,2.32,0.1,1.75,2.06,Solvent,Weak + C13_Sat,,,76,1.28,0,2.37,0.4,Compound,None,,
2,9.94,0,0.74,0.05,Artifact,Weak,,,27,3.46,0,2.3,0.22,Artifact,Weak,,,52,2.3,0,2.77,0.24,Artifact,Weak,,,77,1.26,0.1,26.05,30.13,Compound,None,,
3,7.63,0,33.16,11.76,Compound,None,,,28,3.45,0,3.9,1.33,Artifact,Weak,,,53,2.28,0,32.21,9.9,Compound,None,,,78,1.25,0.1,5.35,7.55,Compound,None,,
4,7.24,0,6.61,1.92,Compound,None,,,29,3.43,0.2,147.43,250.86,Artifact,Weak,,,54,2.23,0.1,3.05,2.17,Compound,None,,,79,1.23,0.2,4.41,13.17,Compound,None,,
5,7.22,0.3,4.37,15.9,Compound,None,,,30,3.42,0.1,3.74,2.59,Artifact,Weak,,,55,2.21,0.1,2.88,4.29,Compound,None,,,80,1.21,0,5.66,0.63,Compound,None,,
6,7.12,0,3.19,0.86,Compound,None,,,31,3.41,0.1,7.34,6.87,Artifact,Weak,,,56,2.19,0.1,2.69,2.04,Compound,None,,,81,1.16,0,2.72,0.26,Compound,Weak,,
7,7.11,0,5.81,0.91,Compound,None,,,32,3.17,0,1.6,0.15,Artifact,Weak,,,57,2.18,0,1.14,0.17,Compound,Weak,,,82,1.15,0.1,4.01,2.51,Compound,None,,
8,7.1,0.3,4.24,15.7,Compound,None,,,33,3.14,0,68.66,23.13,Artifact,Weak,,,58,2.08,0,1.53,0.28,Compound,None,,,83,1.11,0.1,1.81,1.34,Compound,None,,
9,7.01,0,16.18,1.18,Artifact,Weak,,,34,2.93,0,18.03,4.34,Compound,None,,,59,2.07,0,38.91,16.36,Compound,None,,,84,1.05,0.4,4.12,20.1,Compound,None,,
10,6.99,0,7.59,3.09,Compound,None,,,35,2.76,0,20.45,10.01,Compound,None,,,60,2.04,0,10.27,1.8,Compound,None,,,85,1.03,0.4,4.14,20.22,Compound,None,,
11,6.97,0.3,4.35,15.84,Compound,None,,,36,2.68,0.1,1.67,1.65,Solvent,Weak + C13_Sat,,,61,1.99,0,0.83,0.08,Artifact,Weak,,,86,1.02,0,2.58,1.04,Compound,None,,
12,6.53,0,1.24,0.07,Artifact,Weak,,,37,2.67,0.2,2.18,6.89,Solvent,Weak + C13_Sat,,,62,1.91,0.1,1.7,1.5,Compound,None,,,87,1,0,2.92,0.85,Compound,None,,
13,6.52,0.1,2.45,3.51,Compound,None,,,38,2.67,0.4,2.37,12.13,Solvent,Weak + C13_Sat,,,63,1.87,0,32.08,9.73,Compound,None,,,88,0.99,0,1.19,0.12,Artifact,Weak,,
14,5.26,0,8.36,1.52,Compound,None,,,39,2.66,0.3,2.22,7.37,Solvent,Weak + C13_Sat,,,64,1.65,0,2.05,0.2,Impurity,Weak,,,89,0.89,0,12.38,2.09,Compound,None,,
15,5.22,0,3.19,0.22,Artifact,Weak,,,40,2.66,0.1,1.8,2.04,Solvent,Weak + C13_Sat,,,65,1.64,0,1.54,0.13,Impurity,Weak,,,90,0.87,0,4.38,1.01,Compound,None,,
16,5.14,0,3.36,0.27,Impurity,Weak,,,41,2.52,0,0.73,0.05,Artifact,Weak,,,66,1.54,0,3.88,1.17,Compound,None,,,91,0.86,0,2.67,1.21,Compound,None,,
17,5.11,0,2.81,0.27,Impurity,Weak,,,42,2.51,16.8,1.71,323.91,Solvent,None,,,67,1.52,0.1,6.88,6.27,Compound,None,,,92,0.85,0,2.86,1.37,Compound,None,,
18,4.31,0,3.74,0.49,Impurity,Weak,,,43,2.5,46.5,2.18,1275.65,Solvent,None,,,68,1.5,0.1,4.91,3.62,Compound,None,,,93,0.85,0.1,13.23,10.35,Compound,None,,
19,4.02,0,14.38,3.09,Compound,None,,,44,2.5,76.8,2.43,2427.87,Solvent,None,,,69,1.49,0,4.68,2.56,Compound,None,,,94,0.83,0,18.29,4.69,Compound,None,,
20,3.95,0,11.17,3.96,Compound,None,,,45,2.5,46.8,2.14,1257.74,Solvent,None,,,70,1.47,0,1.22,0.17,Impurity,None,,,95,0.81,0,10.2,3.22,Compound,None,,
21,3.73,0,19.77,4.98,Compound,None,,,46,2.49,19.5,1.83,425.19,Solvent,None,,,71,1.39,0,1.47,0.12,Artifact,Weak,,,96,0.79,0,2.45,0.25,Impurity,Weak,,
22,3.57,0,1.01,0.08,Artifact,Weak,,,47,2.34,0.1,1.64,1.38,Solvent,Weak + C13_Sat,,,72,1.35,0,2.67,1.64,Compound,None,,,97,0.07,0,2.49,1.31,Compound,None,,
23,3.55,0,6.9,1.55,Artifact,Weak,,,48,2.33,0.2,2.47,7.06,Solvent,Weak + C13_Sat,,,73,1.34,0,12.77,3.91,Compound,None,,,98,-0.08,0,1.63,0.14,Impurity,Weak,,
24,3.53,0,2.86,0.3,Artifact,Weak,,,49,2.33,0.4,2.43,12.55,Solvent,Weak + C13_Sat,,,74,1.32,0,3.62,0.85,Compound,None,,,99,-3.3,0,0.76,0.05,Artifact,Weak,,
25,3.51,0.6,3.09,21.41,Compound,None,,,50,2.32,0.2,2.16,6.93,Solvent,Weak + C13_Sat,,,75,1.3,0,3.54,0.88,Compound,None,,,,,,,,,,,
