ppm, BSLE010, BSLE046
-893.8927,0.0221,-0.0032
-893.8321,0.1208,-0.0123
-893.7714,0.2114,-0.0291
-893.7107,0.277,-0.0547
-893.6501,0.3125,-0.0832
-893.5894,0.3224,-0.1029
-893.5287,0.3159,-0.1019
-893.4681,0.3,-0.0744
-893.4074,0.2776,-0.026
-893.3468,0.2474,0.0292
-893.2861,0.2072,0.0749
-893.2254,0.1564,0.1009
-893.1648,0.0974,0.1071
-893.1041,0.0356,0.1016
-893.0434,-0.021,0.0938
-892.9828,-0.0631,0.0883
-892.9221,-0.0813,0.0829
-892.8615,-0.0697,0.0724
-892.8008,-0.0289,0.0548
-892.7401,0.0321,0.035
-892.6795,0.0976,0.0236
-892.6188,0.1502,0.0309
-892.5581,0.1776,0.0602
-892.4975,0.1773,0.1045
-892.4368,0.1567,0.1487
-892.3762,0.129,0.1764
-892.3155,0.1068,0.177
-892.2548,0.0971,0.15
-892.1942,0.1002,0.1043
-892.1335,0.1118,0.0529
-892.0728,0.1267,0.0081
-892.0122,0.1416,-0.0239
-891.9515,0.1549,-0.0426
-891.8909,0.1649,-0.0516
-891.8302,0.1689,-0.0544
-891.7695,0.1633,-0.0515
-891.7089,0.1457,-0.0407
-891.6482,0.1174,-0.0192
-891.5876,0.0842,0.0127
-891.5269,0.0553,0.0488
-891.4662,0.0392,0.0782
-891.4056,0.0409,0.0894
-891.3449,0.0591,0.0757
-891.2842,0.0875,0.0388
-891.2236,0.117,-0.0122
-891.1629,0.1397,-0.0648
-891.1023,0.1522,-0.1091
-891.0416,0.1566,-0.1415
-890.9809,0.1588,-0.1637
-890.9203,0.1657,-0.1793
-890.8596,0.1811,-0.1899
-890.7989,0.2037,-0.1937
-890.7383,0.2272,-0.1882
-890.6776,0.2433,-0.173
-890.617,0.2448,-0.1521
-890.5563,0.229,-0.1318
-890.4956,0.1984,-0.1168
-890.435,0.1595,-0.1074
-890.3743,0.1198,-0.0992
-890.3136,0.0857,-0.0871
-890.253,0.0604,-0.07
-890.1923,0.0441,-0.0529
-890.1317,0.0346,-0.0454
-890.071,0.0285,-0.0556
-890.0103,0.0224,-0.0858
-889.9497,0.0144,-0.1295
-889.889,0.006,-0.1737
-889.8283,0.0017,-0.2037
-889.7677,0.0079,-0.2087
-889.707,0.0295,-0.1857
-889.6464,0.0657,-0.1398
-889.5857,0.1085,-0.083
-889.525,0.1452,-0.03
-889.4644,0.1638,0.0065
-889.4037,0.16,0.0201
-889.343,0.14,0.0135
-889.2824,0.1177,-0.003
-889.2217,0.108,-0.0162
-889.1611,0.1177,-0.0171
-889.1004,0.1421,-0.006
-889.0397,0.1678,0.0076
-888.9791,0.1797,0.0101
-888.9184,0.1697,-0.0077
-888.8577,0.14,-0.0449
-888.7971,0.1003,-0.0909
-888.7364,0.0616,-0.1312
-888.6758,0.0309,-0.1566
-888.6151,0.0101,-0.168
-888.5544,-0.001,-0.1757
-888.4938,-0.0011,-0.1922
-888.4331,0.0135,-0.225
-888.3724,0.0448,-0.2722
-888.3118,0.0882,-0.3238
-888.2511,0.1303,-0.3663
-888.1905,0.1532,-0.3889
-888.1298,0.1433,-0.3857
-888.0691,0.0998,-0.3566
-888.0085,0.0371,-0.3055
-887.9478,-0.0215,-0.2393
-887.8871,-0.0551,-0.1676
-887.8265,-0.0555,-0.1008
-887.7658,-0.0303,-0.0485
-887.7052,0.0032,-0.0157
-887.6445,0.0287,-0.002
-887.5838,0.04,-0.0021
-887.5232,0.042,-0.0093
-887.4625,0.0453,-0.0189
-887.4018,0.0571,-0.0292
-887.3412,0.0756,-0.0397
-887.2805,0.0909,-0.0486
-887.2199,0.0924,-0.0514
-887.1592,0.0758,-0.0434
-887.0985,0.0469,-0.0234
-887.0379,0.0184,0.0039
-886.9772,0.0024,0.0292
-886.9165,0.0042,0.0436
-886.8559,0.0199,0.0431
-886.7952,0.0397,0.0311
-886.7346,0.0547,0.0154
-886.6739,0.0614,0.0025
-886.6132,0.0626,-0.0054
-886.5526,0.0648,-0.0108
-886.4919,0.0728,-0.0168
-886.4312,0.0873,-0.0231
-886.3706,0.1049,-0.0251
-886.3099,0.1204,-0.0168
-886.2493,0.1308,0.0047
-886.1886,0.1362,0.037
-886.1279,0.1392,0.0728
-886.0673,0.1425,0.1045
-886.0066,0.147,0.127
-885.9459,0.151,0.139
-885.8853,0.1516,0.1403
-885.8246,0.1464,0.13
-885.764,0.1358,0.1064
-885.7033,0.1226,0.0694
-885.6426,0.1114,0.0239
-885.582,0.1056,-0.0192
-885.5213,0.1057,-0.0464
-885.4606,0.1083,-0.0469
-885.4,0.1069,-0.0181
-885.3393,0.0954,0.0327
-885.2787,0.0718,0.0908
-885.218,0.0403,0.1398
-885.1573,0.0099,0.1665
-885.0967,-0.0096,0.1646
-885.036,-0.0141,0.1362
-884.9753,-0.0084,0.0903
-884.9147,-0.0056,0.0407
-884.854,-0.0208,0.0012
-884.7934,-0.0618,-0.0182
-884.7327,-0.1231,-0.0157
-884.672,-0.1857,0.0029
-884.6114,-0.2254,0.0271
-884.5507,-0.2243,0.0479
-884.49,-0.1799,0.0621
-884.4294,-0.1071,0.0725
-884.3687,-0.0312,0.0838
-884.3081,0.0245,0.0968
-884.2474,0.0484,0.1069
-884.1867,0.0438,0.1074
-884.1261,0.0248,0.0968
-884.0654,0.0065,0.0836
-884.0047,-0.0026,0.0834
-883.9441,-0.0019,0.1101
-883.8834,0.004,0.1653
-883.8228,0.0114,0.2338
-883.7621,0.0202,0.2903
-883.7014,0.0336,0.3127
-883.6408,0.0533,0.2948
-883.5801,0.0776,0.2489
-883.5194,0.1009,0.1978
-883.4588,0.1184,0.1605
-883.3981,0.129,0.1418
-883.3375,0.1364,0.1332
-883.2768,0.1454,0.122
-883.2161,0.158,0.1039
-883.1555,0.1701,0.0868
-883.0948,0.1744,0.0853
-883.0341,0.1658,0.1078
-882.9735,0.1462,0.1485
-882.9128,0.1249,0.1875
-882.8522,0.1139,0.2028
-882.7915,0.12,0.1838
-882.7308,0.1409,0.1383
-882.6702,0.1664,0.0884
-882.6095,0.185,0.0577
-882.5488,0.1923,0.0581
-882.4882,0.1928,0.0851
-882.4275,0.1973,0.1225
-882.3669,0.2149,0.1543
-882.3062,0.2459,0.1735
-882.2455,0.2816,0.1842
-882.1849,0.3096,0.1965
-882.1242,0.3213,0.2177
-882.0635,0.3174,0.2475
-882.0029,0.3057,0.2782
-881.9422,0.2954,0.3009
-881.8816,0.2899,0.3109
-881.8209,0.2845,0.3105
-881.7602,0.2704,0.3069
-881.6996,0.2418,0.3078
-881.6389,0.202,0.3168
-881.5782,0.1628,0.3324
-881.5176,0.1393,0.3494
-881.4569,0.1414,0.362
-881.3963,0.1681,0.3659
-881.3356,0.2074,0.3593
-881.2749,0.242,0.3422
-881.2143,0.2564,0.3154
-881.1536,0.2436,0.2802
-881.0929,0.2065,0.2387
-881.0323,0.1563,0.1943
-880.9716,0.1076,0.1513
-880.911,0.0737,0.1141
-880.8503,0.0625,0.0852
-880.7896,0.0741,0.0637
-880.729,0.1015,0.0459
-880.6683,0.1332,0.0277
-880.6076,0.1577,0.0077
-880.547,0.1686,-0.0109
-880.4863,0.167,-0.0206
-880.4257,0.1597,-0.0133
-880.365,0.1545,0.0148
-880.3043,0.155,0.0599
-880.2437,0.1578,0.1108
-880.183,0.156,0.1537
-880.1223,0.1449,0.1787
-880.0617,0.1272,0.184
-880.001,0.1135,0.1762
-879.9404,0.1157,0.1655
-879.8797,0.1387,0.1606
-879.819,0.1745,0.1639
-879.7584,0.2046,0.1719
-879.6977,0.2094,0.1782
-879.637,0.1792,0.1781
-879.5764,0.1208,0.1702
-879.5157,0.0541,0.156
-879.4551,0.0013,0.138
-879.3944,-0.0241,0.1185
-879.3337,-0.0234,0.1002
-879.2731,-0.0089,0.0884
-879.2124,0.0058,0.0906
-879.1517,0.0139,0.1145
-879.0911,0.0186,0.1633
-879.0304,0.0278,0.2315
-878.9698,0.0468,0.3049
-878.9091,0.0735,0.3649
-878.8484,0.0998,0.3962
-878.7878,0.1179,0.3923
-878.7271,0.1264,0.3579
-878.6664,0.1312,0.3055
-878.6058,0.141,0.249
-878.5451,0.1612,0.1984
-878.4845,0.1897,0.1573
-878.4238,0.2184,0.1246
-878.3631,0.2384,0.0981
-878.3025,0.2448,0.0769
-878.2418,0.2382,0.0621
-878.1811,0.2211,0.0545
-878.1205,0.1942,0.0529
