,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.07,0,1.02,0.47,Impurity,None,,,27,4.02,0,2.93,0.25,Artifact,Weak,,,53,3.1,0,51.77,11.56,Artifact,Weak,,,79,2.42,0,2.93,0.44,Artifact,Weak,,,105,1.9,0,7.03,1.26,Compound,None,,,131,1,0,4.71,1.67,Compound,None,,
2,10.22,0,0.82,0.11,Impurity,Weak,,,28,4.01,0,2.09,0.33,Impurity,Weak,,,54,3.06,0,3.37,0.31,Artifact,Weak,,,80,2.41,0,1.44,0.15,Artifact,Weak,,,106,1.84,0,26.4,3.31,Compound,None,,,132,0.98,0,1.33,0.34,Compound,None,,
3,9.65,0,1.71,0.22,Impurity,Weak,,,29,3.95,0,7.17,2.65,Compound,None,,,55,2.96,0,1.43,0.51,Artifact,Weak,,,81,2.34,0.1,1.19,1.07,Solvent,Weak + C13_Sat,,,107,1.75,0,1.31,0.72,Impurity,None,,,133,0.89,0,2.02,0.29,Impurity,Weak,,
4,9.65,0,0.64,0.05,Impurity,Weak,,,30,3.94,0,2.29,0.2,Artifact,Weak,,,56,2.96,0.1,1.89,2.5,Artifact,Weak,,,82,2.33,0.3,1.8,6.22,Solvent,Weak + C13_Sat,,,108,1.74,0,0.72,0.06,Artifact,Weak,,,134,0.89,0,3.39,0.7,Impurity,None,,
5,8.13,0.1,2.44,3.35,Compound,None,,,31,3.79,0,1.2,0.16,Impurity,Weak,,,57,2.95,0.2,1.9,4.19,Artifact,Weak,,,83,2.33,0.4,1.87,10.4,Solvent,Weak + C13_Sat,,,109,1.5,0,38.59,13.1,Compound,None,,,135,0.88,0,4.39,1.28,Impurity,None,,
6,7.99,0,13.71,1.62,Compound,None,,,32,3.78,0,1.14,0.13,Impurity,Weak,,,58,2.95,0.1,1.95,2.87,Artifact,Weak,,,84,2.32,0.3,1.53,5.64,Solvent,Weak + C13_Sat,,,110,1.36,0,2.87,1.04,Compound,None,,,136,0.87,0,4.69,2.31,Compound,None,,
7,7.35,0,333.26,19.54,Artifact,Weak,,,33,3.78,0,1.98,0.42,Impurity,None,,,59,2.94,0,1.6,0.66,Artifact,Weak,,,85,2.32,0.1,1.31,1.69,Solvent,Weak + C13_Sat,,,111,1.3,0,1.39,0.3,Impurity,None,,,137,0.86,0.1,2.77,4.37,Compound,None,,
8,7.27,0,43.81,7.63,Compound,None,,,34,3.76,0,1,0.15,Impurity,Weak,,,60,2.92,0,10.66,2.03,Compound,None,,,86,2.3,0,0.73,0.22,Impurity,None,,,112,1.27,0,15.32,4.85,Compound,None,,,138,0.85,0.1,3.27,5.2,Compound,None,,
9,7.21,0.2,34.49,78.48,Compound,None,,,35,3.76,0,2.89,0.65,Impurity,None,,,61,2.75,0,1.07,0.1,Impurity,Weak,,,87,2.3,0,2.58,0.2,Artifact,Weak,,,113,1.26,0,1.86,0.51,Impurity,None,,,139,0.85,0.1,3.54,6.82,Compound,None,,
10,7.1,0.3,44.28,130.43,Compound,None,,,36,3.75,0,1.52,0.26,Impurity,Weak,,,62,2.74,0,1.41,0.14,Impurity,Weak,,,88,2.28,0,3.42,0.57,Impurity,None,,,114,1.24,0.1,12.6,14.43,Compound,None,,,140,0.84,0.1,3.59,5.83,Compound,None,,
11,7,0.1,45.97,62.71,Compound,None,,,37,3.74,0,2.35,0.13,Artifact,Weak,,,63,2.68,0.1,1.06,0.84,Solvent,Weak + C13_Sat,,,89,2.26,0,0.91,0.07,Artifact,Weak,,,115,1.23,0.2,4.23,13.66,Compound,None,,,141,0.83,0.1,4.22,4.1,Compound,None,,
12,6.52,0.1,1.37,1.22,Compound,None,,,38,3.73,0,1.76,0.2,Impurity,Weak,,,64,2.67,0.3,2.04,7.22,Solvent,Weak + C13_Sat,,,90,2.23,0,3.47,0.35,Impurity,Weak,,,116,1.21,0,2.75,0.41,Impurity,Weak,,,142,0.82,0.1,3.73,2.41,Compound,None,,
13,6.02,0,3.07,0.29,Artifact,Weak,,,39,3.64,0,0.66,0.17,Artifact,Weak,,,65,2.67,0.4,1.89,10.61,Solvent,Weak + C13_Sat,,,91,2.22,0,0.83,0.07,Artifact,Weak,,,117,1.16,0,1.65,0.15,Compound,Weak,,,143,0.81,0,4.36,2.93,Compound,None,,
14,5.75,0,2.1,0.38,Impurity,None,,,40,3.61,0.2,94.2,245.69,Artifact,Weak,,,66,2.66,0.3,1.56,5.89,Solvent,Weak + C13_Sat,,,92,2.21,0,2.23,0.45,Compound,None,,,118,1.14,0.1,3.74,2.89,Compound,None,,,144,0.8,0.1,8.58,6.2,Compound,None,,
15,5.26,0,3.19,0.2,Artifact,Weak,,,41,3.57,0.1,19.5,11.03,Artifact,Weak,,,67,2.66,0.1,1.42,1.31,Solvent,Weak + C13_Sat,,,93,2.2,0,8.41,1.75,Compound,None,,,119,1.12,0,18.99,5.76,Compound,None,,,145,0.79,0,1.81,0.46,Impurity,None,,
16,5.14,0,2.75,0.16,Artifact,Weak,,,42,3.53,0.2,25.06,71.47,Artifact,Weak,,,68,2.6,0,13.95,1.75,Artifact,Weak,,,94,2.18,0,5.54,0.69,Compound,None,,,120,1.11,0,1.52,0.14,Artifact,Weak,,,146,0.78,0,1.64,0.57,Impurity,None,,
17,4.86,0.1,418.84,360.92,Compound,None,,,43,3.5,0.7,2.93,26.65,Artifact,Weak,,,69,2.58,0.1,52.87,57.42,Artifact,Weak,,,95,2.16,0,1.33,0.11,Impurity,Weak,,,121,1.11,0.2,0.91,2.48,Compound,None,,,147,0.78,0,1.39,0.26,Impurity,None,,
18,4.36,0.1,1.94,1.88,Compound,None,,,44,3.49,0.2,7.5,20.28,Artifact,Weak,,,70,2.56,0.1,23.3,27.34,Artifact,Weak,,,96,2.13,0,0.69,0.26,Impurity,None,,,122,1.1,0,0.67,0.05,Artifact,Weak,,,148,0.77,0,1.71,0.15,Artifact,Weak,,
19,4.35,0.2,2.1,4.89,Compound,None,,,45,3.48,0.3,5.65,18.66,Artifact,Weak,,,71,2.54,0.2,14.66,45.32,Artifact,Weak,,,97,2.12,0,0.74,0.24,Impurity,None,,,123,1.1,0,2.45,0.42,Compound,None,,,149,0.76,0,5.88,1.89,Impurity,None,,
20,4.34,0.1,1.79,2.49,Compound,None,,,46,3.47,0.1,2.61,4.83,Artifact,Weak,,,72,2.52,0.2,1.09,2.63,Solvent,Weak,,,98,2.09,0,2.03,0.31,Compound,None,,,124,1.07,0.5,0.83,5.09,Compound,None,,,150,0.74,0,3.58,0.98,Impurity,None,,
21,4.31,0,1.79,0.2,Impurity,Weak,,,47,3.47,0.2,4.93,11.62,Artifact,Weak,,,73,2.51,19.7,1.28,275.92,Solvent,None,,,99,2.08,0.1,0.8,1.1,Compound,None,,,125,1.05,1.1,0.83,10.75,Compound,None,,,151,0.73,0,1.88,0.52,Impurity,None,,
22,4.18,0,1.27,0.18,Impurity,Weak,,,48,3.45,0.4,6.19,38.73,Artifact,Weak,,,74,2.5,50.2,1.5,1013.1,Solvent,None,,,100,2.07,0,0.81,0.37,Compound,None,,,126,1.05,0.2,2.48,6.58,Compound,None,,,152,0.71,0,2.93,0.51,Impurity,None,,
23,4.12,0,0.87,0.06,Artifact,Weak,,,49,3.44,0.3,5.01,23.27,Artifact,Weak,,,75,2.5,87.2,2.04,2419.19,Solvent,None,,,101,2.06,0,0.85,0.18,Compound,Weak,,,127,1.04,0.7,1.25,12.19,Compound,None,,,153,0.69,0,1.71,0.14,Artifact,Weak,,
24,4.1,0,2.23,0.22,Impurity,Weak,,,50,3.43,0.2,0.96,1.9,Artifact,Weak,,,76,2.5,49.5,1.34,815.48,Solvent,None,,,102,2.06,0,2.32,0.5,Impurity,None,,,128,1.04,0.6,0.91,6.29,Compound,None,,,154,0.07,0,2,0.48,Impurity,None,,
25,4.09,0,2.63,0.44,Impurity,None,,,51,3.17,0.1,1.35,1.93,Artifact,Weak,,,77,2.49,22,1.39,332.23,Solvent,None,,,103,2.03,0,1.22,0.11,Artifact,Weak,,,129,1.03,0.7,1.48,14.01,Compound,None,,,155,-0.09,0,1.65,0.12,Artifact,Weak,,
26,4.04,0.1,4.61,4.35,Compound,None,,,52,3.16,0.1,1.43,1.86,Artifact,Weak,,,78,2.43,0,3.51,0.29,Artifact,Weak,,,104,1.91,1,0.86,10.65,Compound,None,,,130,1.02,0.1,4.65,3.88,Compound,None,,,,,,,,,,,
