,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0,2.03,0.21,Impurity,Weak,,,28,3.48,0.2,3.81,10.55,Artifact,Weak,,,55,2.34,0.1,1.57,1.5,Solvent,Weak + C13_Sat,,,82,1.47,0,3.61,0.57,Impurity,None,,
2,8.92,0,20.54,2.1,Compound,None,,,29,3.46,0.1,3.57,4.46,Artifact,Weak,,,56,2.33,0.3,2.32,8.02,Solvent,Weak + C13_Sat,,,83,1.42,0.1,7.63,6.98,Compound,None,,
3,7.65,0,8.14,0.78,Artifact,Weak,,,30,3.44,0.2,4.06,9.47,Artifact,Weak,,,57,2.33,0.4,2.1,11.2,Solvent,Weak + C13_Sat,,,84,1.38,0.1,5.66,8.93,Compound,None,,
4,7.62,0,30.29,9.62,Compound,None,,,31,3.43,0.1,164.37,145.46,Artifact,Weak,,,58,2.32,0.3,1.83,5.89,Solvent,Weak + C13_Sat,,,85,1.34,0,2.43,0.35,Compound,None,,
5,7.24,0,5.9,1.05,Compound,None,,,32,3.42,0.2,3.5,7.81,Artifact,Weak,,,59,2.32,0.1,1.85,2.43,Solvent,Weak + C13_Sat,,,86,1.32,0,3.79,1.59,Compound,None,,
6,7.22,0.2,4.58,10.75,Compound,None,,,33,3.42,0.1,3.4,6.48,Artifact,Weak,,,60,2.3,0,4.19,1.23,Compound,None,,,87,1.3,0,4.26,1.7,Compound,None,,
7,7.11,0,5.67,1.64,Compound,None,,,34,3.41,0.1,2.9,3.91,Artifact,Weak,,,61,2.28,0.1,5.05,4.21,Compound,None,,,88,1.28,0,3.86,1.33,Compound,None,,
8,7.09,0.2,4.17,9.84,Compound,None,,,35,3.4,0.1,3.59,5.4,Artifact,Weak,,,62,2.27,0,4.5,1.61,Compound,None,,,89,1.26,0.1,9.93,9.51,Compound,None,,
9,6.96,0.2,4.3,9.74,Compound,None,,,36,3.24,0,4.29,0.35,Artifact,Weak,,,63,2.23,0,2.45,1.61,Compound,None,,,90,1.25,0.4,6.18,31.18,Compound,None,,
10,6.52,0.1,2.18,3.38,Compound,None,,,37,3.23,0,3.87,1.31,Artifact,Weak,,,64,2.21,0.1,2.63,3.28,Compound,None,,,91,1.23,0.1,3.56,5.68,Compound,None,,
11,5.26,0,10.87,2.38,Compound,None,,,38,3.21,0,2.69,1.18,Artifact,Weak,,,65,2.19,0.1,2.7,1.8,Compound,None,,,92,1.19,0,2.28,0.34,Impurity,None,,
12,5.09,0,37.48,5.16,Compound,None,,,39,3.2,0,1.92,0.2,Artifact,Weak,,,66,2.14,0,49.98,7.16,Compound,None,,,93,1.15,0,3.97,2.18,Compound,None,,
13,4.42,0,2.8,0.5,Compound,None,,,40,3.19,0,1.2,0.09,Artifact,Weak,,,67,2.08,0,1.66,0.89,Compound,None,,,94,1.11,0,1.26,0.1,Compound,Weak,,
14,4.41,0,6.57,2.13,Compound,None,,,41,2.77,0,16.98,7.55,Compound,None,,,68,2.06,0,30.62,9.08,Compound,None,,,95,1.11,0.1,1.62,2.37,Compound,None,,
15,4.4,0,2.35,0.35,Compound,None,,,42,2.73,0,9.09,5.1,Compound,None,,,69,2.04,0,12.46,2.67,Compound,None,,,96,1.04,1.6,3.68,64.73,Compound,None,,
16,4.18,0,2.1,0.16,Artifact,Weak,,,43,2.72,0,5.46,1.56,Compound,None,,,70,1.91,0.1,1.44,1.69,Compound,None,,,97,1.03,1.7,4.07,82.9,Compound,None,,
17,3.73,0,9.15,2.29,Compound,None,,,44,2.68,0.1,1.67,1.67,Solvent,Weak + C13_Sat,,,71,1.88,0,33.21,11.65,Compound,None,,,98,1.01,0.1,2.33,3.92,Compound,None,,
18,3.72,0,6.88,1.76,Compound,None,,,45,2.67,0.3,2.17,7.14,Solvent,Weak + C13_Sat,,,72,1.87,0,0.46,0.04,Artifact,Weak,,,99,1,0,2.42,0.75,Compound,None,,
19,3.66,0,2.96,0.47,Compound,None,,,46,2.67,0.4,2.26,12.94,Solvent,Weak + C13_Sat,,,73,1.85,0,23.41,3.67,Compound,None,,,100,1,0.2,2.32,4.5,Compound,None,,
20,3.65,0,3.67,0.58,Compound,None,,,47,2.66,0.2,1.81,5.49,Solvent,Weak + C13_Sat,,,74,1.65,0,8.43,2.36,Compound,None,,,101,0.87,0,8.04,5.79,Compound,None,,
21,3.64,0,2.62,0.33,Compound,None,,,48,2.66,0.1,1.71,2.2,Solvent,Weak + C13_Sat,,,75,1.62,0,13.76,1.66,Compound,None,,,102,0.86,0.1,3.18,3.15,Compound,None,,
22,3.57,0.1,1.45,1.23,Artifact,Weak,,,49,2.51,19.2,1.81,415.52,Solvent,None,,,76,1.56,0,2.23,0.2,Impurity,Weak,,,103,0.84,0.1,9.96,7.49,Compound,None,,
23,3.57,0,1.02,0.07,Artifact,Weak,,,50,2.5,50.8,2.04,1341.81,Solvent,None,,,77,1.54,0,4.04,1.43,Compound,None,,,104,0.81,0,2.29,0.37,Impurity,None,,
24,3.53,0,6,0.77,Artifact,Weak,,,51,2.5,77.7,2.17,2141.44,Solvent,None,,,78,1.52,0.1,7.69,9.31,Compound,None,,,105,0.81,0,10.21,2.74,Compound,None,,
25,3.52,0,3.6,1.57,Artifact,Weak,,,52,2.5,50.1,1.96,1193.45,Solvent,None,,,79,1.5,0.1,6.9,7.1,Compound,None,,,106,0.79,0,1.9,0.32,Impurity,None,,
26,3.51,0.1,5.05,9.52,Artifact,Weak,,,53,2.49,18.6,1.52,305.96,Solvent,None,,,80,1.49,0,3.54,1.66,Compound,None,,,107,0.07,0,2.45,0.98,Compound,None,,
27,3.49,0.2,4.03,9.79,Artifact,Weak,,,54,2.41,0,0.77,0.07,Artifact,Weak,,,81,1.48,0,0.95,0.11,Impurity,Weak,,,,,,,,,,,
