,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.79,0,0.83,0.06,Artifact,Weak,,,26,3.52,0,2.7,1,Artifact,Weak,,,51,2.67,0.4,2.31,12.36,Solvent,Weak + C13_Sat,,,76,2.03,0,2.23,0.16,Artifact,Weak,,,101,1.12,0,1.79,0.25,Compound,None,,
2,10.2,0,2.45,0.22,Impurity,Weak,,,27,3.51,0,2.3,1.01,Artifact,Weak,,,52,2.66,0.3,2.11,7.66,Solvent,Weak + C13_Sat,,,77,1.91,0.1,1.83,1.58,Compound,None,,,102,1.11,0,1.59,0.11,Compound,Weak,,
3,9.51,0,0.55,0.04,Artifact,Weak,,,28,3.5,0.1,4.43,4.33,Artifact,Weak,,,53,2.66,0.1,1.86,2.74,Solvent,Weak + C13_Sat,,,78,1.87,0,28.4,7.43,Compound,None,,,103,1.11,0,1.96,1.17,Compound,None,,
4,8.71,0,0.75,0.05,Artifact,Weak,,,29,3.49,0.2,3.96,7.08,Artifact,Weak,,,54,2.51,14.4,1.48,225.09,Solvent,None,,,79,1.84,0,8.4,0.72,Artifact,Weak,,,104,1.09,0,9.9,1.96,Compound,None,,
5,7.62,0,27.03,6.58,Compound,None,,,30,3.47,0.2,4.68,11.94,Artifact,Weak,,,55,2.5,46.2,2.03,1172.97,Solvent,None,,,80,1.76,0,4.8,0.55,Compound,None,,,105,1.08,0,1.74,0.23,Compound,None,,
6,7.32,0,0.95,0.07,Artifact,Weak,,,31,3.46,0.1,3.15,2.86,Artifact,Weak,,,56,2.5,76.6,2.21,2155.03,Solvent,None,,,81,1.64,0,2.76,0.43,Compound,None,,,106,1.04,1.3,3.78,55.96,Compound,None,,
7,7.24,0,4.61,1.44,Compound,None,,,32,3.44,0.2,4.19,8.36,Artifact,Weak,,,57,2.5,56.1,2.11,1478.88,Solvent,None,,,82,1.54,0,2.39,0.56,Compound,None,,,107,1.03,1.4,3.79,61.06,Compound,None,,
8,7.22,0.2,3.31,9.39,Compound,None,,,33,3.44,0,17.65,3.62,Artifact,Weak,,,58,2.49,22,1.72,416.15,Solvent,None,,,83,1.54,0,2,0.3,Compound,None,,,108,1.01,0.1,2.42,3.68,Compound,None,,
9,7.11,0,4.97,1.5,Compound,None,,,34,3.42,0.1,4.24,7.78,Artifact,Weak,,,59,2.34,0.1,1.39,1.21,Solvent,Weak + C13_Sat,,,84,1.52,0.1,7.9,8.21,Compound,None,,,109,1,0.1,2.51,4.32,Compound,None,,
10,7.09,0.2,3.17,8.8,Compound,None,,,35,3.42,0.1,3.82,7.07,Artifact,Weak,,,60,2.33,0.2,2.14,6.62,Solvent,Weak + C13_Sat,,,85,1.5,0.1,5.44,4.06,Compound,None,,,110,0.98,0,0.85,0.07,Artifact,Weak,,
11,6.99,0,6.42,2.34,Compound,None,,,36,3.41,0.1,3.76,4.25,Artifact,Weak,,,61,2.33,0.4,2.32,12.47,Solvent,Weak + C13_Sat,,,86,1.49,0,5.14,2.54,Compound,None,,,111,0.97,0,2.19,0.12,Artifact,Weak,,
12,6.96,0.2,3.1,8.57,Compound,None,,,37,3.23,0,4.27,0.98,Artifact,Weak,,,62,2.32,0.3,2.17,7.54,Solvent,Weak + C13_Sat,,,87,1.47,0,2.6,0.43,Compound,None,,,112,0.89,0,4.05,1.04,Compound,None,,
