,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.37,0,0.63,0.08,Artifact,Weak,,,25,3.47,0,2.13,0.88,Artifact,Weak,,,49,2.21,0,9.65,1.69,Compound,None,,
2,14.27,0,0.61,0.07,Artifact,Weak,,,26,3.45,0.2,4,8.24,Artifact,Weak,,,50,2.2,0,2.61,0.24,Artifact,Weak,,
3,14.09,0,0.71,0.07,Artifact,Weak,,,27,3.44,0.1,3,5.02,Artifact,Weak,,,51,2.18,0,3.28,0.52,Artifact,Weak,,
4,7.08,0.3,43.83,179.46,Compound,None,,,28,3.44,0.2,3.2,6.27,Artifact,Weak,,,52,2.07,0,1.26,0.16,Artifact,Weak,,
5,7.07,0,15.82,3.01,Impurity,None,,,29,3.42,0.2,3.17,6.77,Artifact,Weak,,,53,1.91,0,3.17,1.74,Compound,None,,
6,6.53,0.1,3.46,3.42,Compound,None,,,30,3.42,0.1,2.77,2.61,Artifact,Weak,,,54,1.52,0,4.52,0.58,Artifact,Weak,,
7,6.52,0.5,3.18,21.96,Compound,None,,,31,3.41,0.1,2.96,2.08,Artifact,Weak,,,55,1.49,0,34.89,5.69,Compound,None,,
8,5.75,0,5.06,1.66,Compound,None,,,32,3.17,0,2.8,1.7,Artifact,Weak,,,56,1.36,0,3.59,1.16,Impurity,None,,
9,5.43,0,0.85,0.16,Impurity,Weak,,,33,3.16,0.1,3.31,2.28,Artifact,Weak,,,57,1.3,0,2,0.21,Artifact,Weak,,
10,5.42,0,2.6,0.43,Impurity,Weak,,,34,2.94,0,13.08,2.72,Compound,None,,,58,1.26,0,9.73,5.57,Compound,None,,
11,5.42,0,4.13,0.92,Impurity,Weak,,,35,2.92,0,1.73,0.3,Compound,Weak,,,59,1.24,0.1,5.53,7.13,Compound,None,,
12,4.95,0,640.29,175.01,Compound,None,,,36,2.68,0.1,3.25,3.8,Artifact,Weak,,,60,1.23,0.3,4.74,17.1,Compound,None,,
13,4.66,0,0.72,0.1,Artifact,Weak,,,37,2.67,0.2,3.45,8.79,Solvent,Weak + C13_Sat,,,61,1.15,0.1,4.14,2.98,Compound,None,,
14,4.36,0.1,3.21,3.81,Compound,None,,,38,2.67,0.3,3.62,15.89,Solvent,Weak + C13_Sat,,,62,1.07,0.3,2.81,11.72,Compound,None,,
15,4.34,0.2,3.2,9.73,Compound,None,,,39,2.66,0.3,3.79,12.34,Solvent,Weak + C13_Sat,,,63,1.05,0.7,3.1,28.12,Compound,None,,
16,4.33,0.1,3.2,4.82,Compound,None,,,40,2.51,56,4.1,2971.34,Solvent,None,,,64,1.04,0.4,3.73,19.26,Compound,None,,
17,4.1,0,5.86,0.75,Artifact,Weak,,,41,2.5,59.7,3.58,2750.38,Solvent,None,,,65,1.04,0.4,3.07,14.91,Compound,None,,
18,4.08,0,2.17,0.17,Artifact,Weak,,,42,2.49,40.6,3.56,1564.35,Solvent,None,,,66,1.03,0.4,3.8,20.31,Compound,None,,
19,4.03,0,9.86,2,Compound,None,,,43,2.4,0,1.47,0.17,Artifact,Weak,,,67,1,0,5.37,1.16,Impurity,None,,
20,3.95,0,14.82,2.66,Compound,None,,,44,2.34,0.1,3.53,4.21,Artifact,Weak,,,68,0.85,0.1,24.65,30.62,Compound,None,,
21,3.78,0,1.89,0.37,Compound,None,,,45,2.33,0.2,3.39,9.53,Solvent,Weak + C13_Sat,,,69,0.39,0,1.18,0.17,Artifact,Weak,,
22,3.76,0,7.1,1.43,Compound,None,,,46,2.33,0.3,3.49,15.49,Solvent,Weak + C13_Sat,,,70,0.07,0.1,4.39,3.69,Compound,None,,
23,3.51,0.3,4.11,14.59,Artifact,Weak,,,47,2.32,0.2,3.9,10.2,Solvent,Weak + C13_Sat,,,71,-1.56,0,0.6,0.07,Artifact,Weak,,
24,3.48,0,5.87,1.85,Artifact,Weak,,,48,2.28,0,0.78,0.1,Artifact,Weak,,,,,,,,,,,
