,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.31,0,0.55,0.04,Artifact,Weak,,,30,3.58,0.1,114.42,193.96,Compound,None,,,59,2.68,0.1,1.23,1.87,Solvent,Weak + C13_Sat,,,88,2.13,0,0.73,0.19,Impurity,Weak,,,117,1.01,0.2,1.7,3.08,Compound,None,,
2,13.11,0,0.59,0.05,Artifact,Weak,,,31,3.57,0.1,0.99,0.62,Compound,None,,,60,2.67,0.3,1.52,6.47,Solvent,Weak + C13_Sat,,,89,2.12,0,0.78,0.19,Impurity,Weak,,,118,1,0,1.67,0.72,Compound,None,,
3,11.15,0,0.63,0.03,Artifact,Weak,,,32,3.57,0,0.59,0.05,Impurity,Weak,,,61,2.67,0.4,1.4,8.13,Solvent,Weak + C13_Sat,,,90,2.09,0,17.19,1.12,Artifact,Weak,,,119,1,0.2,1.72,3.09,Compound,None,,
4,10.2,0,0.81,0.13,Impurity,Weak,,,33,3.52,0,1.79,0.25,Artifact,Weak,,,62,2.66,0.3,1.52,6.73,Solvent,Weak + C13_Sat,,,91,2.08,0,0.8,0.39,Impurity,None,,,120,0.98,0,1.13,0.17,Impurity,Weak,,
5,9.65,0,1.43,0.17,Impurity,Weak,,,34,3.51,0.2,1.84,4.05,Compound,None,,,63,2.66,0.1,1.25,1.87,Solvent,Weak + C13_Sat,,,92,2.07,0,1.22,0.2,Compound,Weak,,,121,0.97,0,0.7,0.05,Artifact,Weak,,
6,9.65,0,1.07,0.08,Artifact,Weak,,,35,3.5,0.1,2.74,1.83,Compound,None,,,64,2.55,0.1,34.16,46.93,Artifact,Weak,,,93,2.06,0,1.4,0.1,Artifact,Weak,,,122,0.87,0,7.49,3.64,Compound,None,,
7,9.3,0,0.62,0.03,Artifact,Weak,,,36,3.49,0.2,3.83,9.33,Compound,None,,,65,2.54,0.1,10.95,17.96,Artifact,Weak,,,94,2.06,0,7.98,1.26,Compound,None,,,123,0.86,0,2.04,1.08,Compound,None,,
8,8.14,0,2.58,1.25,Compound,None,,,37,3.47,0.2,3.49,8.46,Compound,None,,,66,2.52,0.2,0.85,1.71,Artifact,Weak,,,95,2.04,0,5.65,0.81,Compound,None,,,124,0.86,0.1,1.91,1.77,Compound,None,,
9,7.5,0,1.92,0.19,Artifact,Weak,,,38,3.47,0,0.85,0.22,Artifact,Weak,,,67,2.52,0,0.35,0.14,Artifact,Weak,,,96,2.01,0,12.21,1.86,Compound,None,,,125,0.85,0.1,2.12,1.98,Compound,None,,
10,7.49,0,3.89,0.36,Artifact,Weak,,,39,3.46,0.2,5.85,12.82,Compound,None,,,68,2.51,22.6,1.2,327.54,Solvent,None,,,97,1.91,0,0.83,0.07,Impurity,Weak,,,126,0.84,0.1,20.88,37.39,Compound,None,,
