,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.3,0,0.61,0.04,Artifact,Weak,,,28,3.64,0,0.78,0.15,Impurity,None,,,55,2.56,0,1.9,0.22,Artifact,Weak,,,82,2.03,0,28.07,3.92,Compound,None,,,109,1.03,0.2,1.31,4.35,Compound,None,,
2,11.19,0,0.76,0.05,Artifact,Weak,,,29,3.62,0,0.63,0.04,Artifact,Weak,,,56,2.54,0,2.09,0.19,Artifact,Weak,,,83,1.91,0.8,0.87,9.12,Compound,None,,,110,1.02,0,3.46,1.01,Compound,None,,
3,11.07,0,0.88,0.13,Impurity,None,,,30,3.57,0,1,0.09,Artifact,Weak,,,57,2.52,0.2,0.89,1.52,Artifact,Weak,,,84,1.84,0,24.53,3.67,Compound,None,,,111,1,0,4.42,1.18,Compound,None,,
4,10.22,0,0.94,0.07,Artifact,Weak,,,31,3.53,0,4.84,0.5,Artifact,Weak,,,58,2.52,0.1,0.33,0.25,Artifact,Weak,,,85,1.75,0,1.58,0.46,Compound,None,,,112,0.98,0,1.1,0.2,Compound,None,,
5,9.65,0,1.02,0.08,Artifact,Weak,,,32,3.5,0.3,2.29,8.55,Artifact,Weak,,,59,2.51,22.6,1.29,323.87,Solvent,None,,,86,1.74,0,0.91,0.07,Artifact,Weak,,,113,0.97,0,0.76,0.05,Artifact,Weak,,
6,9.02,0,0.42,0.03,Artifact,Weak,,,33,3.49,0,7.59,2.06,Artifact,Weak,,,60,2.5,56.7,1.44,1041.82,Solvent,None,,,87,1.51,0,38.35,4.23,Compound,None,,,114,0.87,0,8.96,5.66,Compound,None,,
7,8.13,0.1,2.2,1.73,Compound,None,,,34,3.47,0,1.22,0.31,Artifact,Weak,,,61,2.5,85.8,1.55,1711.19,Solvent,None,,,88,1.36,0,0.58,0.06,Impurity,Weak,,,115,0.86,0.1,2.59,2.53,Compound,None,,
8,7.95,0,0.76,0.06,Artifact,Weak,,,35,3.47,0,9.11,1.5,Artifact,Weak,,,62,2.5,56.8,1.37,981.63,Solvent,None,,,89,1.35,0,1.49,0.19,Impurity,None,,,116,0.85,0.1,2,1.92,Compound,None,,
9,7.09,0.1,29.51,25.49,Compound,None,,,36,3.46,0,1.96,0.57,Artifact,Weak,,,63,2.49,23.1,1.27,326.67,Solvent,None,,,90,1.33,0,0.64,0.05,Artifact,Weak,,,117,0.85,0.1,2.77,2.67,Compound,None,,
10,6.53,0,1.36,0.37,Compound,None,,,37,3.45,0.1,1.11,0.85,Artifact,Weak,,,64,2.41,0,1.46,0.2,Artifact,Weak,,,91,1.3,0,1.66,0.31,Impurity,None,,,118,0.85,0.1,2.8,3.01,Compound,None,,
11,6.52,0.7,1.22,10.59,Compound,None,,,38,3.44,0.1,2,1.73,Artifact,Weak,,,65,2.34,0.1,1.29,1.7,Solvent,Weak + C13_Sat,,,92,1.26,0,1.13,0.14,Compound,None,,,119,0.84,0.1,3.71,4.92,Compound,None,,
12,6.13,0,0.43,0.02,Artifact,Weak,,,39,3.44,0.1,0.73,0.56,Artifact,Weak,,,66,2.33,0.3,1.55,6.32,Solvent,Weak + C13_Sat,,,93,1.25,0.1,46.8,48.69,Compound,None,,,120,0.83,0.1,6,4.63,Compound,None,,
13,5.75,0,3.38,0.55,Compound,None,,,40,3.42,0.1,1.98,2.5,Artifact,Weak,,,67,2.33,0.4,1.44,8.29,Solvent,Weak + C13_Sat,,,94,1.23,0.3,3.64,13.88,Compound,None,,,121,0.82,0,4.43,2.34,Compound,None,,
14,5.44,0,8,0.52,Compound,None,,,41,3.4,0,10.14,7.12,Artifact,Weak,,,68,2.32,0.3,1.51,5.81,Solvent,Weak + C13_Sat,,,95,1.21,0,1.97,0.16,Artifact,Weak,,,122,0.81,0,2.51,0.57,Compound,None,,
15,4.97,0,285.72,84.25,Compound,None,,,42,3.19,0,0.38,0.03,Artifact,Weak,,,69,2.32,0.1,1.29,1.87,Solvent,Weak + C13_Sat,,,96,1.16,0,0.61,0.03,Artifact,Weak,,,123,0.8,0.1,14.62,10.83,Compound,None,,
16,4.36,0,1.5,0.62,Compound,None,,,43,3.17,0,1.21,0.56,Artifact,Weak,,,70,2.3,0,1.07,0.28,Impurity,None,,,97,1.16,0,7.89,0.82,Compound,None,,,124,0.79,0,0.82,0.13,Compound,None,,
17,4.35,0.1,1.64,1.5,Compound,None,,,44,3.16,0,1.11,0.58,Artifact,Weak,,,71,2.22,0,2.08,0.15,Compound,None,,,98,1.14,0,3.57,2.09,Compound,None,,,125,0.78,0,1.63,0.47,Compound,None,,
18,4.34,0,1.82,1.02,Compound,None,,,45,2.96,0,1.4,0.42,Compound,None,,,72,2.21,0,5.91,0.79,Compound,None,,,99,1.13,0,2.23,0.22,Compound,Weak,,,126,0.76,0,3.41,0.99,Compound,None,,
19,4.31,0,2.89,0.28,Impurity,Weak,,,46,2.96,0.1,1.82,2.09,Compound,None,,,73,2.2,0,2.8,0.39,Compound,None,,,100,1.12,0,1.22,0.15,Compound,Weak,,,127,0.74,0,2.24,0.6,Compound,None,,
20,4.18,0,1.36,0.21,Impurity,None,,,47,2.95,0.1,1.75,2.79,Compound,None,,,74,2.18,0,2.2,0.5,Compound,None,,,101,1.12,0,4.17,0.47,Compound,None,,,128,0.73,0,1.19,0.27,Compound,None,,
21,4.1,0,1.24,0.08,Artifact,Weak,,,48,2.95,0.1,1.98,2.24,Compound,None,,,75,2.16,0,1.76,0.17,Compound,None,,,102,1.11,0.2,0.93,2.19,Compound,None,,,129,0.71,0,2.36,0.26,Impurity,None,,
22,4.09,0,2.39,0.15,Artifact,Weak,,,49,2.94,0,1.44,0.44,Compound,None,,,76,2.13,0,0.72,0.16,Impurity,None,,,103,1.07,0.2,0.78,1.66,Compound,None,,,130,0.68,0,0.56,0.03,Artifact,Weak,,
23,4.04,0,4.26,2.32,Compound,None,,,50,2.68,0.1,1.36,1.78,Solvent,Weak + C13_Sat,,,77,2.12,0,0.62,0.11,Impurity,None,,,104,1.05,0.3,0.84,3.76,Compound,None,,,131,0.07,0,1.77,0.3,Impurity,None,,
24,4.01,0,2.53,0.19,Artifact,Weak,,,51,2.67,0.3,1.43,5.45,Solvent,Weak + C13_Sat,,,78,2.08,0.1,0.85,0.57,Compound,None,,,105,1.05,0.1,2.09,1.99,Compound,None,,,132,-0.06,0,1.16,0.13,Impurity,Weak,,
25,3.95,0,7.49,1.28,Compound,None,,,52,2.67,0.4,1.57,9.1,Solvent,Weak + C13_Sat,,,79,2.07,0,0.8,0.12,Compound,None,,,106,1.04,0.3,1.34,4.82,Compound,None,,,133,-1.5,0,0.72,0.05,Artifact,Weak,,
26,3.82,0,0.47,0.03,Artifact,Weak,,,53,2.66,0.3,1.52,6.18,Solvent,Weak + C13_Sat,,,80,2.06,0,1.6,0.24,Compound,None,,,107,1.04,0.2,0.9,2,Compound,None,,,,,,,,,,,
27,3.78,0,0.93,0.08,Impurity,Weak,,,54,2.66,0.1,1.26,1.66,Solvent,Weak + C13_Sat,,,81,2.06,0,1.74,0.26,Impurity,None,,,108,1.03,0.1,1.95,2.46,Compound,None,,,,,,,,,,,
