,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.24,0,0.62,0.04,Artifact,Weak,,,31,3.53,0,2.81,0.4,Artifact,Weak,,,61,2.34,0.1,1.54,1.91,Solvent,Weak + C13_Sat,,,91,1.3,0,1.65,0.15,Compound,Weak,,
2,13.99,0,0.91,0.08,Artifact,Weak,,,32,3.5,0.7,2.68,22.66,Compound,None,,,62,2.33,0.3,2.08,7.8,Solvent,Weak + C13_Sat,,,92,1.28,0,3.17,1.1,Compound,None,,
3,11.61,0,0.64,0.04,Artifact,Weak,,,33,3.49,0,2.97,1.23,Artifact,Weak,,,63,2.33,0.4,1.83,9.42,Solvent,Weak + C13_Sat,,,93,1.26,0.1,148.3,185.2,Compound,None,,
4,10.2,0,1.4,0.21,Impurity,None,,,34,3.49,0,2.19,0.51,Artifact,Weak,,,64,2.32,0.3,1.98,7.01,Solvent,Weak + C13_Sat,,,94,1.26,0,8.84,3.4,Compound,None,,
5,10.03,0,0.58,0.04,Artifact,Weak,,,35,3.48,0.1,4.96,4.06,Artifact,Weak,,,65,2.32,0.1,1.49,1.46,Solvent,Weak + C13_Sat,,,95,1.25,0.1,4.51,8.57,Compound,None,,
6,9.2,0,0.6,0.04,Artifact,Weak,,,36,3.46,0,3.63,1.72,Artifact,Weak,,,66,2.28,0,11.97,2.84,Compound,None,,,96,1.23,0.3,3.94,14.22,Compound,None,,
7,8.13,0,2.91,0.26,Artifact,Weak,,,37,3.45,0.1,4.23,2.29,Artifact,Weak,,,67,2.23,0.1,2.5,2,Compound,None,,,97,1.16,0,1.93,0.13,Compound,Weak,,
8,7.62,0,33.12,10.25,Compound,None,,,38,3.43,0,4.61,1.53,Artifact,Weak,,,68,2.21,0.1,2.45,3.76,Compound,None,,,98,1.16,0,1.75,0.11,Artifact,Weak,,
9,7.24,0,9.5,3.47,Compound,None,,,39,3.42,0,5.69,1.18,Artifact,Weak,,,69,2.19,0.1,2.32,1.84,Compound,None,,,99,1.15,0,3.25,1.86,Compound,None,,
10,7.22,0.2,4.18,11.86,Compound,None,,,40,3.42,0,3.74,1.54,Artifact,Weak,,,70,2.18,0,2.23,0.24,Compound,Weak,,,100,1.11,0.1,1.33,1.01,Compound,None,,
11,7.11,0,7.62,3.48,Compound,None,,,41,3.41,0,9.33,4.02,Artifact,Weak,,,71,2.16,0,1.08,0.1,Artifact,Weak,,,101,1.08,0,2.2,0.16,Impurity,Weak,,
12,7.09,0.2,4.15,11.9,Compound,None,,,42,3.38,0.3,31.47,150.9,Artifact,Weak,,,72,2.1,0,102.67,20.48,Compound,None,,,102,1.06,0,2.26,1.01,Compound,None,,
13,7.02,0,10.56,1.05,Compound,None,,,43,3.07,0,1.14,0.05,Artifact,Weak,,,73,2.08,0,1.4,0.39,Impurity,None,,,103,1.05,0.4,3.33,15.47,Compound,None,,
14,6.99,0,12.45,2.54,Compound,None,,,44,2.94,0,11.58,4.1,Compound,None,,,74,2.06,0,2.57,0.23,Artifact,Weak,,,104,1.03,0.4,3.75,19.17,Compound,None,,
15,6.97,0.2,4.57,13.32,Compound,None,,,45,2.92,0,6.46,1.68,Compound,None,,,75,2.04,0,1.06,0.1,Artifact,Weak,,,105,1.02,0,2.16,0.58,Compound,None,,
16,6.53,0,1.09,0.16,Compound,Weak,,,46,2.9,0,1.13,0.12,Compound,Weak,,,76,1.91,0.1,1.31,1.41,Compound,None,,,106,1,0,2.53,0.53,Impurity,None,,
17,6.52,0.1,1.96,2.57,Compound,None,,,47,2.76,0,21.5,9.26,Compound,None,,,77,1.87,0,37.73,7.37,Compound,None,,,107,0.99,0,1.05,0.16,Impurity,Weak,,
18,5.26,0,8.48,1.54,Compound,None,,,48,2.68,0.1,1.57,1.82,Solvent,Weak + C13_Sat,,,78,1.65,0,1.96,0.3,Impurity,None,,,108,0.89,0,3.92,1.38,Compound,None,,
19,5.22,0,1.63,0.17,Impurity,Weak,,,49,2.67,0.3,2.08,7.68,Solvent,Weak + C13_Sat,,,79,1.56,0,2.32,0.3,Impurity,None,,,109,0.87,0,6.18,3.23,Compound,None,,
20,5.14,0,4.87,0.29,Artifact,Weak,,,50,2.67,0.4,2.08,10.75,Solvent,Weak + C13_Sat,,,80,1.54,0,3.89,1.66,Compound,None,,,110,0.86,0.1,2.89,2.24,Compound,None,,
21,5.11,0,5.16,0.32,Artifact,Weak,,,51,2.66,0.3,1.83,6.13,Solvent,Weak + C13_Sat,,,81,1.52,0.1,5.57,4.27,Compound,None,,,111,0.85,0,2.17,0.86,Compound,None,,
22,4.31,0,6.83,1.06,Compound,None,,,52,2.66,0.1,1.51,1.62,Solvent,Weak + C13_Sat,,,82,1.5,0.1,5.54,4.87,Compound,None,,,112,0.85,0.1,6.94,5.61,Compound,None,,
23,4.03,0,0.59,0.05,Artifact,Weak,,,53,2.59,0.1,34.51,26.13,Artifact,Weak,,,83,1.49,0,3.67,1.95,Compound,None,,,113,0.83,0,24.07,11.68,Compound,None,,
24,4.02,0,16.3,2.2,Compound,None,,,54,2.54,0.2,19.51,46.02,Artifact,Weak,,,84,1.47,0,2.15,0.17,Impurity,Weak,,,114,0.83,0,4.33,0.87,Compound,None,,
25,3.95,0,10.99,4.52,Compound,None,,,55,2.52,0.2,1.68,4.77,Artifact,Weak,,,85,1.37,0,1.23,0.12,Compound,Weak,,,115,0.81,0,2.22,0.53,Compound,None,,
26,3.73,0,11.37,2.43,Compound,None,,,56,2.51,21,1.68,430.25,Solvent,None,,,86,1.36,0,0.98,0.1,Impurity,Weak,,,116,0.81,0,0.9,0.15,Compound,Weak,,
27,3.72,0,2.57,0.17,Artifact,Weak,,,57,2.5,50.5,1.83,1193.27,Solvent,None,,,87,1.35,0,2.77,0.99,Compound,None,,,117,0.8,0,4.75,0.87,Compound,None,,
