,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.76,0,0.77,0.06,Artifact,Weak,,,28,3.74,0,4.47,2,Compound,None,,,55,2.73,0.1,3.93,2.4,Compound,None,,,82,2.08,0,1.55,0.63,Compound,None,,,109,1.26,0.1,6.15,4.45,Compound,None,,
2,13.41,0,0.46,0.03,Artifact,Weak,,,29,3.72,0,3.58,1.65,Compound,None,,,56,2.71,0.1,4.19,3.2,Compound,None,,,83,2.06,0,27.16,10.39,Compound,None,,,110,1.25,0.4,5.57,32.83,Compound,None,,
3,10.2,0,2.17,0.15,Impurity,Weak,,,30,3.71,0,2.87,0.21,Compound,Weak,,,57,2.68,0.1,1.42,1.38,Solvent,Weak + C13_Sat,,,84,2.04,0,4.96,0.87,Compound,None,,,111,1.23,0.1,3.44,6.21,Compound,None,,
4,8.95,0,16.76,2.32,Compound,None,,,31,3.66,0,4.11,0.36,Impurity,Weak,,,58,2.67,0.3,1.98,6.75,Solvent,Weak + C13_Sat,,,85,1.91,0.1,1.43,1.52,Compound,None,,,112,1.18,0,2.01,0.4,Impurity,None,,
5,8.13,0,2.12,0.14,Impurity,Weak,,,32,3.65,0,7.09,1.63,Artifact,Weak,,,59,2.67,0.4,2.11,11.69,Solvent,Weak + C13_Sat,,,86,1.87,0,37.5,9.18,Compound,None,,,113,1.15,0,3.57,2.1,Compound,None,,
6,7.91,0,0.46,0.03,Artifact,Weak,,,33,3.63,0,6.02,0.35,Artifact,Weak,,,60,2.66,0.3,1.98,7.36,Solvent,Weak + C13_Sat,,,87,1.8,0,4.29,0.32,Artifact,Weak,,,114,1.11,0,1.71,0.29,Compound,None,,
7,7.9,0,0.69,0.05,Artifact,Weak,,,34,3.57,0.1,1.46,1.25,Artifact,Weak,,,61,2.66,0.1,1.55,1.72,Solvent,Weak + C13_Sat,,,88,1.77,0,6.18,0.95,Compound,None,,,115,1.11,0.1,1.39,1.73,Compound,None,,
8,7.63,0,33.92,9.53,Compound,None,,,35,3.57,0,1.25,0.17,Artifact,Weak,,,62,2.51,17.9,1.39,284.52,Solvent,None,,,89,1.74,0,4.2,0.31,Impurity,Weak,,,116,1.1,0,3.97,0.68,Compound,None,,
9,7.25,0,2.62,0.24,Compound,None,,,36,3.52,0,2.86,1.03,Artifact,Weak,,,63,2.5,50.1,1.85,1184.77,Solvent,None,,,90,1.73,0,1.51,0.16,Impurity,Weak,,,117,1.09,0,2.12,0.22,Compound,Weak,,
10,7.24,0,4.51,1.48,Compound,None,,,37,3.51,0.1,2.6,1.57,Artifact,Weak,,,64,2.5,79.5,2.09,2082.02,Solvent,None,,,91,1.64,0,3.82,0.74,Compound,None,,,118,1.08,0,1.31,0.11,Compound,Weak,,
